"age","annual_salary","professional_experience_years","highest_edu_level","gender","industry","job_title"
"35-44",132000,"11 - 20 years","Master's degree","Woman","Nonprofits","Deputy Director, Education"
"55-64",53500,"31 - 40 years","College degree","Woman","Education (Higher Education)","Executive Assistant"
"25-34",48000,"8 - 10 years","Master's degree","Woman","Insurance","Customer service Technical trainer"
"25-34",124000,"1 year or less","PhD","Man","Pharmaceuticals","Senior Statistician"
"35-44",87445,"21 - 30 years","Master's degree","Man","Education (Higher Education)","Director, Application Development"
"25-34",114000,"5-7 years","Master's degree","Woman","Health care","Program Director"
"35-44",78000,"21 - 30 years","College degree","Woman","Accounting, Banking & Finance","Tax Accountant - II"
"25-34",88000,"2 - 4 years","PhD","Woman","Engineering or Manufacturing","Metallurgical Engineer"
"25-34",29000,"5-7 years","College degree","Woman","Media & Digital","administrative assistant"
"35-44",93000,"8 - 10 years","College degree","Woman","Entertainment","Senior Insights Manager"
"25-34",75000,"5-7 years","Master's degree","Woman","Engineering or Manufacturing","Systems Engineer"
"25-34",70000,"5-7 years","Master's degree","Woman","Computing or Tech","Front End Web Developer"
"45-54",185000,"31 - 40 years","Professional degree (MD, JD, etc.)","Man","Accounting, Banking & Finance","Consultant"
"45-54",57000,"21 - 30 years","Master's degree","Woman","Government and Public Administration","librarian"
"35-44",50000,"11 - 20 years","College degree","Woman","Entertainment","Box Office Manager"
"25-34",115000,"8 - 10 years","College degree","Woman","Marketing, Advertising & PR","Group Creative Director"
"35-44",93000,"8 - 10 years","Professional degree (MD, JD, etc.)","Woman","Government and Public Administration","Legislative Analyst"
"25-34",80000,"11 - 20 years","College degree","Woman","Computing or Tech","Scrum Master"
"35-44",65000,"11 - 20 years","College degree","Woman","Nonprofits","Senior Association Manager"
"35-44",93000,"8 - 10 years","Master's degree","Woman","Computing or Tech","Software Engineer 2 Lead"
"35-44",145000,"8 - 10 years","College degree","Man","Sales","Sales Rep"
"35-44",84975,"8 - 10 years","Master's degree","Woman","Insurance","Senior Business Analytics Analyst"
"25-34",151000,"8 - 10 years","Professional degree (MD, JD, etc.)","Woman","Law","Staff Attorney"
"25-34",41600,"11 - 20 years","College degree","Woman","Accounting, Banking & Finance","Operations Asst"
"25-34",93000,"5-7 years","College degree","Woman","Computing or Tech","Customer Operations Manager"
"45-54",2e+05,"21 - 30 years","Master's degree","Woman","Marketing, Advertising & PR","Head of Marketing"
"25-34",70000,"11 - 20 years","Professional degree (MD, JD, etc.)","Woman","Education (Primary/Secondary)","Clinical Psychologist"
"35-44",65000,"11 - 20 years","Master's degree","Woman","Social Work","Behavior Services Supervisor"
"25-34",65000,"8 - 10 years","Master's degree","Woman","Accounting, Banking & Finance","Internal Auditor"
"25-34",59000,"8 - 10 years","College degree","Woman","Law","Administrative Assistant"
"35-44",60000,"11 - 20 years","College degree","Woman","Sales","Sales Representative"
"25-34",55000,"5-7 years","College degree","Woman","Accounting, Banking & Finance","Executive Assistant"
"35-44",77500,"11 - 20 years","College degree","Woman","Engineering or Manufacturing","Structural engineer"
"25-34",89975,"11 - 20 years","College degree","Man","Nonprofits","Finance and Operations Officer"
"35-44",152000,"8 - 10 years","Professional degree (MD, JD, etc.)","Woman","Law","Senior Attorney"
"25-34",61000,"5-7 years","Master's degree","Woman","Law","Legislative Coordinator"
"25-34",83000,"8 - 10 years","Master's degree","Woman","Program management","Program manager"
"25-34",112000,"5-7 years","Professional degree (MD, JD, etc.)","Woman","Law","Associate"
"25-34",73000,"11 - 20 years","College degree","Man","Marketing, Advertising & PR","Senior Video Editor/Animator"
"25-34",62000,"5-7 years","Master's degree","Woman","Education (Higher Education)","Assistant Professor in 2D Foundations"
"25-34",46000,"2 - 4 years","College degree","Woman","Retail","Assistant Buyer"
"35-44",33000,"11 - 20 years","College degree","Woman","Hospitality & Events","Restaurant shift lead"
"35-44",155000,"11 - 20 years","PhD","Woman","Engineering or Manufacturing","Advanced Scientist"
"25-34",65000,"8 - 10 years","Master's degree","Woman","Accounting, Banking & Finance","Consultant"
"25-34",220000,"11 - 20 years","College degree","Woman","Computing or Tech","Lead Software Engineer"
"25-34",60000,"5-7 years","College degree","Woman","Nonprofits","Communications Manager"
"35-44",78000,"8 - 10 years","Master's degree","Woman","Education (Higher Education)","Assistant director of research"
"25-34",120000,"8 - 10 years","Professional degree (MD, JD, etc.)","Woman","Education (Higher Education)","Executive Director"
"25-34",77500,"5-7 years","Master's degree","Woman","Health care","Research Planning Consultant"
"35-44",76000,"11 - 20 years","Master's degree","Woman","Nonprofits","Director"
"25-34",59000,"8 - 10 years","College degree","Woman","Entertainment","Settlement Coordinator (Accounting)"
"35-44",60965,"11 - 20 years","College degree","Woman","Retail","Senior Administrative Assistant"
"25-34",56000,"8 - 10 years","Master's degree","Woman","Nonprofits","Director of Marketing & Development"
"25-34",70000,"2 - 4 years","PhD","Woman","Education (Higher Education)","Field Station Director/Assistant Research Scientist"
"35-44",136500,"11 - 20 years","College degree","Woman","Computing or Tech","Senior Software Implementation Engineer"
"25-34",37000,"5-7 years","Master's degree","Woman","Social Work","Counselor"
"25-34",49331,"8 - 10 years","Master's degree","Woman","Education (Primary/Secondary)","Preschool Teacher"
"25-34",85000,"2 - 4 years","Professional degree (MD, JD, etc.)","Woman","Nonprofits","Veterinarian"
"45-54",65668,"11 - 20 years","PhD","Woman","Education (Higher Education)","Postdoctoral fellow"
"25-34",41600,"8 - 10 years","College degree","Man","Health care","Office Manager"
"35-44",68000,"11 - 20 years","Master's degree","Woman","Health care","Program Manager II"
"45-54",168000,"21 - 30 years","Master's degree","Woman","Nonprofits","Executive Director"
"35-44",60000,"8 - 10 years","Master's degree","Woman","Nonprofits","Development Manager"
"35-44",114000,"11 - 20 years","Master's degree","Woman","Market Research","Director"
"25-34",35000,"5-7 years","Master's degree","Woman","Education (Higher Education)","Chemistry PhD student"
"35-44",60000,"8 - 10 years","College degree","Woman","Health care","registered nurse"
"25-34",69000,"5-7 years","College degree","Woman","Engineering or Manufacturing","Business Analyst"
"18-24",53000,"2 - 4 years","College degree","Man","Utilities & Telecommunications","Data Analyst"
"35-44",106733,"21 - 30 years","Master's degree","Woman","Education (Primary/Secondary)","Teacher"
"18-24",80000,"2 - 4 years","College degree","Man","Computing or Tech","Software Engineer"
"25-34",91914,"5-7 years","Master's degree","Woman","Engineering or Manufacturing","Systems Engineer"
"25-34",33200,"2 - 4 years","College degree","Woman","Accounting, Banking & Finance","Bank Teller"
"25-34",39129,"5-7 years","College degree","Man","Education (Higher Education)","Captioning Coordinator"
"55-64",34000,"31 - 40 years","College degree","Woman","Government and Public Administration","Public Administrator"
"25-34",54538,"8 - 10 years","College degree","Woman","Manufacturing","Graphic Designer"
"25-34",119000,"8 - 10 years","Master's degree","Woman","Business or Consulting","Principal Transportation Planner"
"25-34",170000,"5-7 years","College degree","Woman","Computing or Tech","Director of Engineering"
"25-34",109450,"2 - 4 years","Master's degree","Man","Computing or Tech","Software Engineer II"
"18-24",66463,"2 - 4 years","College degree","Woman","Computing or Tech","System Programmer I"
"45-54",105000,"21 - 30 years","Master's degree","Woman","Government and Public Administration","Branch Chief"
"25-34",85000,"8 - 10 years","College degree","Woman","Property or Construction","Assistant Project Manager"
"25-34",59000,"8 - 10 years","College degree","Woman","Education (Primary/Secondary)","HR Generalist"
"35-44",150000,"11 - 20 years","College degree","Man","Computing or Tech","Senior Engineer"
"35-44",90000,"21 - 30 years","College degree","Woman","Retail","Executive Assistant"
"35-44",75000,"11 - 20 years","College degree","Woman","Government and Public Administration","Human Resources Manager"
"55-64",187000,"41 years or more","College degree","Man","Computing or Tech","Software Development Engineer"
"45-54",76500,"31 - 40 years","College degree","Woman","Education (Higher Education)","Executive Assistant"
"25-34",94710,"11 - 20 years","Master's degree","Woman","Nonprofits","Director, New Product Development"
"25-34",53000,"2 - 4 years","College degree","Woman","Computing or Tech","Marketing Associate"
"35-44",130000,"11 - 20 years","Master's degree","Woman","Computing or Tech","Director Strategic Programs & Internal Communications"
"35-44",43000,"11 - 20 years","Master's degree","Woman","Health care","Payroll and Accounts Payable Asst"
"35-44",97500,"11 - 20 years","Master's degree","Woman","Engineering or Manufacturing","Senior Environmental Scientist"
"55-64",56000,"21 - 30 years","College degree","Woman","Retail","Freight Associate"
"45-54",220000,"21 - 30 years","PhD","Woman","Big Pharma","Director, Biostatistics"
"45-54",50000,"21 - 30 years","College degree","Woman","Accounting, Banking & Finance","Financial Advisor"
"35-44",134000,"11 - 20 years","Master's degree","Woman","Government and Public Administration","Environmental Protection Specialist"
"35-44",59000,"11 - 20 years","Master's degree","Man","Government and Public Administration","Librarian"
"35-44",77000,"2 - 4 years","Master's degree","Woman","Computing or Tech","IT Change Manager"
"25-34",42500,"2 - 4 years","Master's degree","Woman","Education (Higher Education)","Research Data Analyst"
"25-34",55000,"8 - 10 years","College degree","Man","Nonprofits","Outreach coordinator"
"45-54",72800,"21 - 30 years","College degree","Woman","Computing or Tech","IT Consultant, Level 2"
"55-64",2e+05,"31 - 40 years","PhD","Woman","Engineering or Manufacturing","Principal Engineer"
"35-44",65000,"11 - 20 years","College degree","Woman","Engineering or Manufacturing","Sales operations manager"
"25-34",65000,"5-7 years","College degree","Woman","Recruitment or HR","HRIS Analyst"
"35-44",50000,"21 - 30 years","College degree","Woman","Entertainment","Program Coordinator"
"35-44",90000,"21 - 30 years","Master's degree","Woman","Government and Public Administration","Program coordinator"
"35-44",180000,"8 - 10 years","PhD","Woman","Computing or Tech","Senior data scientist"
"35-44",35000,"8 - 10 years","College degree","Woman","Government and Public Administration","Librarian"
"55-64",94000,"31 - 40 years","College degree","Woman","Education (Higher Education)","Budget Manager"
"35-44",173500,"21 - 30 years","Master's degree","Man","Computing or Tech","Practice Director"
"25-34",130000,"8 - 10 years","College degree","Woman","Computing or Tech","Senior Software Developer"
"25-34",95000,"2 - 4 years","Master's degree","Woman","Health care","Psychiatric Nurse Practitioner"
"25-34",76000,"2 - 4 years","Professional degree (MD, JD, etc.)","Woman","Law","Law clerk"
"35-44",77000,"8 - 10 years","Master's degree","Woman","Nonprofits","Manager of Community Relations"
"35-44",107000,"11 - 20 years","Master's degree","Woman","Government and Public Administration","Assistant Director"
"25-34",50500,"5-7 years","Master's degree","Woman","Social Work","Psychotherapist"
"25-34",89000,"8 - 10 years","College degree","Woman","Recruitment or HR","Recruiter"
"35-44",2e+05,"21 - 30 years","College degree","Woman","Accounting, Banking & Finance","Corporate Controller"
"25-34",45000,"5-7 years","College degree","Woman","Education (Higher Education)","Adivsor & Program Coordinator"
"25-34",50000,"11 - 20 years","College degree","Woman","Hospitality & Events","Operations Analyst"
"35-44",53539,"8 - 10 years","College degree","Woman","Health care","Senior HR Coordinator"
"25-34",74500,"5-7 years","Master's degree","Woman","Social Work","Social Worker"
"35-44",61089,"11 - 20 years","College degree","Woman","Nonprofits","Fundraising Copywriter"
"35-44",60000,"5-7 years","College degree","Woman","Education (Higher Education)","coordinator"
"25-34",40798,"8 - 10 years","College degree","Woman","Education (Higher Education)","Administrative Manager for Education"
"45-54",75000,"21 - 30 years","Master's degree","Woman","Law","Legal Specialist"
"35-44",135000,"5-7 years","PhD","Woman","Biotech","Senior Research Scientist"
"25-34",44500,"5-7 years","Master's degree","Woman","Education (Higher Education)","Library Specialist"
"25-34",27000,"5-7 years","Master's degree","Woman","Education (Higher Education)","Doctoral Candidate"
